19968,Y,1
19969,D,2
19970,K,1
19971,Q,2
19972,S,3
19973,X,3
19974,H,2
19975,W,3
19976,Z,3
19977,S,3
19978,S,3
19979,X,3
19980,J,2
19981,B,5
19982,Y,1
19983,M,1
19984,G,1
19985,C,1
19986,C,1
19987,Z,1
19988,Q,1
19989,P,1
19990,S,1
19991,S,1
19992,Q,1
19993,B,1
19994,Y,1
19995,C,1
19996,D,1
19997,S,1
19998,C,1
19999,D,1
20000,Q,1
20001,L,1
20002,D,1
20003,Y,1
20004,L,1
20005,Y,1
20006,B,1
20007,S,1
20008,G,1
20009,J,1
20010,G,1
20011,Y,1
20012,Q,1
20013,Z,1
20014,J,1
20015,J,1
20016,F,1
20017,G,1
20018,C,1
20019,C,1
20020,L,1
20021,Z,1
20022,Z,1
20023,B,1
20024,W,1
20025,D,1
20026,W,1
20027,Z,1
20028,J,1
20029,L,1
20030,J,1
20031,P,1
20032,F,1
20033,Y,1
20034,Y,1
20035,N,1
20036,W,1
20037,J,1
20038,J,1
20039,T,1
20040,M,1
20041,Y,1
20042,Y,1
20043,Z,1
20044,W,1
20045,Z,1
20046,H,1
20047,F,1
20048,L,1
20049,Y,1
20050,P,1
20051,P,1
20052,Q,1
20053,H,1
20054,G,1
20055,C,1
20056,C,1
20057,Y,1
20058,Y,1
20059,Y,1
20060,M,1
20061,J,1
20062,Q,1
20063,Y,1
20064,X,1
20065,X,1
20066,G,1
20067,J,1
20068,X,1
20069,H,1
20070,S,1
20071,D,1
20072,S,1
20073,J,1
20074,N,1
20075,J,1
20076,J,1
20077,S,1
20078,M,1
20079,H,1
20080,M,1
20081,L,1
20082,Z,1
20083,R,1
20084,X,1
20085,Y,1
20086,F,1
20087,S,1
20088,N,1
20089,G,1
20090,S,1
20091,Y,1
20092,C,1
20093,Z,1
20094,Q,1
20095,Z,1
20096,G,1
20097,G,1
20098,L,1
20099,L,1
20100,Y,1
20101,J,1
20102,L,1
20103,M,1
20104,Y,1
20105,Z,1
20106,S,1
20107,S,1
20108,E,1
20109,C,1
20110,Y,1
20111,K,1
20112,Y,1
20113,Y,1
20114,H,1
20115,Q,1
20116,W,1
20117,J,1
20118,S,1
20119,S,1
20120,G,1
20121,G,1
20122,Y,1
20123,X,1
20124,Y,1
20125,Q,1
20126,Y,1
20127,J,1
20128,T,1
20129,W,1
20130,K,1
20131,D,1
20132,J,1
20133,H,1
20134,Y,1
20135,C,1
20136,H,1
20137,M,1
20138,Y,1
20139,X,1
20140,J,1
20141,T,1
20142,L,1
20143,X,1
20144,J,1
20145,Y,1
20146,Q,1
20147,B,1
20148,Y,1
20149,X,1
20150,D,1
20151,L,1
20152,D,1
20153,W,1
20154,R,1
20155,R,1
20156,J,1
20157,J,1
20158,W,1
20159,Y,1
20160,S,1
20161,R,1
20162,L,1
20163,D,1
20164,Z,1
20165,J,1
20166,P,1
20167,C,1
20168,B,1
20169,Z,1
20170,J,1
20171,J,1
20172,B,1
